year,total_population,gdp_per_capita,rice_production_total,wheat_production_total,rice_price_retail,stunting_prevalence,wasting_prevalence,avg_energy_intake
2025,171700000.0,2756.0,,,1.0,0.28,0.07,0.0
2026,173417000.0,2921.36,,,1.0,0.28,0.07,0.0
2027,175151170.0,3096.6416000000004,,,1.0,0.28,0.07,0.0
2028,176902681.7,3282.4400960000007,,,1.0,0.28,0.07,0.0
2029,178671708.517,3479.386501760001,,,1.0,0.28,0.07,0.0
2030,180458425.60217,3688.149691865601,,,1.0,0.28,0.07,0.0
2031,182263009.8581917,3909.4386733775373,,,1.0,0.28,0.07,0.0
2032,184085639.9567736,4144.00499378019,,,1.0,0.28,0.07,0.0
2033,185926496.35634133,4392.645293407001,,,1.0,0.28,0.07,0.0
2034,187785761.31990474,4656.204011011421,,,1.0,0.28,0.07,0.0
2035,189663618.9331038,4935.576251672107,,,1.0,0.28,0.07,0.0
